pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493517000001,25001,10053,FERNET 1882 750ml,1,8860.86,2,Pedido: 1 unidad (normalizado: 6 unidad; equiv: 1 unidad),true,false,false
P-00013,5493517000007,25007,20035,LAVANDINA 1L MULTISUP GLACIAR AYUDIN,2,1565.89,4,Pedido: 2 unidad (normalizado: 30 unidad; equiv: 2 unidad),true,false,false
P-00013,5493517000007,25007,11011,YM TARAGUI C/P 1/2 kg,3,2506.51,4,Pedido: 3 unidad (normalizado: 30 unidad; equiv: 3 unidad),true,false,false
P-00014,5493517000007,25007,2082,ARIEL Liquido DELICATES POUCH 800ML,5,2756.32,4,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00014,5493517000007,25007,20109,POETT 900ml ALEGRA TU DIA MULTIESP Desinf.,3,1734.11,4,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00014,5493517000007,25007,20104,POETT 900ml ESPIRITU MULTIESP Desinf.,3,1734.11,4,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00015,5493517000008,25008,11300,PRINGLES ORIGINAL x 104GR,2,4826.04,1,Pedido: 2 unidad (normalizado: 36 unidad; equiv: 2 unidad),true,false,false
P-00015,5493517000008,25008,20104,POETT 900ml ESPIRITU MULTIESP Desinf.,5,2040.13,1,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00016,5493517000008,25008,1191,PAMPERS BABYDRY MED x8,2,3840.85,1,Pedido: 2 unidad (normalizado: 32 unidad; equiv: 2 unidad),true,false,false
P-00016,5493517000008,25008,2248,VENUS MAQ. ORIGINAL x 1 UNID.,3,16128.42,1,Pedido: 3 unidad (normalizado: 108 unidad; equiv: 3 unidad),true,false,false
P-00016,5493517000008,25008,1641,MAGISTRAL LIMON 300ML,4,2290.09,1,Pedido: 4 unidad (normalizado: 84 unidad; equiv: 4 unidad),true,false,false
P-00017,5493517000009,25009,10109,TERMA SERRANO PET 1.35L,2,2130.56,2,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00017,5493517000009,25009,11282,SUEROX LIMONADA 630ML,4,2067.63,2,Pedido: 4 unidad (normalizado: 24 unidad; equiv: 4 unidad),true,false,false
P-00018,5493517000009,25009,20032,LAVANDINA 1L MULTISUP LAVANDA AYUDIN,3,2118.55,2,Pedido: 3 unidad (normalizado: 45 unidad; equiv: 3 unidad),true,false,false
P-00018,5493517000009,25009,116,PANTENE 300ml SH KERATINA,1,7662.22,2,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00019,5493517000010,25010,20410,TRENET POWER 120g DP POLVO,4,2054.98,3,Pedido: 4 unidad (normalizado: 96 unidad; equiv: 4 unidad),true,false,false
P-00019,5493517000010,25010,10114,TERMA LIMON PET 1.35L,2,1667.39,3,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00020,5493517000010,25010,1430,PRESTO 3 BLISTER X 2 UNID,4,5428.21,3,Pedido: 4 unidad (normalizado: 288 unidad; equiv: 4 unidad),true,false,false
P-00020,5493517000010,25010,1192,PAMPERS BABYDRY GDE X8,4,3456.76,3,Pedido: 4 unidad (normalizado: 64 unidad; equiv: 4 unidad),true,false,false
P-00020,5493517000010,25010,116,PANTENE 300ml SH KERATINA,3,5996.52,3,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00020,5493517000010,25010,1643,MAGISTRAL LIMON 750ML,4,4882.74,3,Pedido: 4 unidad (normalizado: 72 unidad; equiv: 4 unidad),true,false,false
P-00021,5493517000011,25011,20109,POETT 900ml ALEGRA TU DIA MULTIESP Desinf.,4,1734.11,4,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00021,5493517000011,25011,1088,ALWAYS Triple Protec Dia Seca 8 UNI.,4,4407.76,4,Pedido: 4 unidad (normalizado: 96 unidad; equiv: 4 unidad),true,false,false
P-00021,5493517000011,25011,1079,PANTENE 200ml SH LISO INFINITO,2,3759.21,4,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00022,5493517000011,25011,18400,ZORRO JAB. EN PAN X2 Clásico 150gs,2,1655.49,4,Pedido: 2 unidad (normalizado: 84 unidad; equiv: 2 unidad),true,false,false
P-00022,5493517000011,25011,1194,PAMPERS BABYDRY PEQ X8,2,3497.91,4,Pedido: 2 unidad (normalizado: 32 unidad; equiv: 2 unidad),true,false,false
P-00023,5493517000012,25012,10112,TERMA CUYANO PET 1.35L,5,1852.66,1,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00024,5493517000012,25012,10109,TERMA SERRANO PET 1.35L,1,1852.66,1,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00024,5493517000012,25012,10065,BACARDI CARTA BLANCA 980ml PT 40°,2,21488.57,1,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00025,5493517000013,25013,10017,MARTINI 1L ROSSO,1,7214.64,2,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00025,5493517000013,25013,8006,PASTA ORAL-B 70g 123,4,2069.40,2,Pedido: 4 unidad (normalizado: 192 unidad; equiv: 4 unidad),true,false,false
P-00026,5493517000013,25013,551,HS 375ml SH ANTICOMEZON,3,10977.52,2,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00026,5493517000013,25013,1014,PILA AA X 2 DURACELL,2,3083.43,2,Pedido: 2 unidad (normalizado: 96 unidad; equiv: 2 unidad),true,false,false
P-00026,5493517000013,25013,18359,ZORRO ULTRA DETERG.BOT 500ml Limon Original Glicer,4,2383.06,2,Pedido: 4 unidad (normalizado: 80 unidad; equiv: 4 unidad),true,false,false
P-00027,5493517000014,25014,5603,FELFORT MENTITAS 30 X 16 GRS,1,15719.72,3,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00027,5493517000014,25014,10112,TERMA CUYANO PET 1.35L,5,1667.39,3,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00027,5493517000014,25014,1003,FOAMY REGULAR X 312 GR,5,9457.22,3,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00027,5493517000014,25014,20410,TRENET POWER 120g DP POLVO,3,2054.98,3,Pedido: 3 unidad (normalizado: 72 unidad; equiv: 3 unidad),true,false,false
P-00028,5493517000014,25014,1088,ALWAYS Triple Protec Dia Seca 8 UNI.,1,4667.04,3,Pedido: 1 unidad (normalizado: 24 unidad; equiv: 1 unidad),true,false,false
P-00028,5493517000014,25014,10043,DR LEMON 473ml VODKA 5º,2,1734.96,3,Pedido: 2 unidad (normalizado: 48 unidad; equiv: 2 unidad),true,false,false
P-00028,5493517000014,25014,18415,ACE POUCH X3000 ML,4,8374.50,3,Pedido: 4 unidad (normalizado: 16 unidad; equiv: 4 unidad),true,false,false
P-00029,5493517000015,25015,11617,OLD SPICE DES. BARRA FRESH 50g,3,7235.76,4,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00029,5493517000015,25015,11071,YM MAÑANITA BCP 1/2 kg,4,2506.51,4,Pedido: 4 unidad (normalizado: 40 unidad; equiv: 4 unidad),true,false,false
P-00029,5493517000015,25015,20305,REPELENTE SELTON DIARIO 165ml,5,4772.84,4,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00030,5493517000015,25015,20104,POETT 900ml ESPIRITU MULTIESP Desinf.,1,1734.11,4,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00031,5493517000016,25016,1015,PILA AA X 4 DURACELL,1,4785.11,1,Pedido: 1 unidad (normalizado: 48 unidad; equiv: 1 unidad),true,false,false
P-00031,5493517000016,25016,11797,ALWAYS XTRA NOCHES TRAN. SECAS X8,1,4168.69,1,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00031,5493517000016,25016,18400,ZORRO JAB. EN PAN X2 Clásico 150gs,4,1947.64,1,Pedido: 4 unidad (normalizado: 168 unidad; equiv: 4 unidad),true,false,false
P-00032,5493517000016,25016,1642,MAGISTRAL LIMON 500ML,3,3616.80,1,Pedido: 3 unidad (normalizado: 60 unidad; equiv: 3 unidad),true,false,false
P-00032,5493517000016,25016,2413,ALWAYS PROT. DIARIOS PERF X 40 NUEVO,2,4564.15,1,Pedido: 2 unidad (normalizado: 48 unidad; equiv: 2 unidad),true,false,false
P-00033,5493517000017,25017,8106,CEP. ORAL-B 123 x2,4,3636.62,2,Pedido: 4 unidad (normalizado: 144 unidad; equiv: 4 unidad),true,false,false
P-00033,5493517000017,25017,6320,PAMPERS TOALLITAS Limpeza Delicada x48 (.),5,6833.25,2,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00034,5493517000017,25017,4003,PRIME TEXTURADO,5,3761.20,2,Pedido: 5 unidad (normalizado: 120 unidad; equiv: 5 unidad),true,false,false
P-00034,5493517000017,25017,551,HS 375ml SH ANTICOMEZON,1,10977.52,2,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00034,5493517000017,25017,18353,ZORRO ULTRA DETERG. BOT300ml Limon Original Glicer,3,1524.07,2,Pedido: 3 unidad (normalizado: 48 unidad; equiv: 3 unidad),true,false,false
P-00035,5493517000018,25018,1015,PILA AA X 4 DURACELL,4,4306.60,3,Pedido: 4 unidad (normalizado: 192 unidad; equiv: 4 unidad),true,false,false
P-00036,5493517000018,25018,10065,BACARDI CARTA BLANCA 980ml PT 40°,4,19339.71,3,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00036,5493517000018,25018,18415,ACE POUCH X3000 ML,5,8374.50,3,Pedido: 5 unidad (normalizado: 20 unidad; equiv: 5 unidad),true,false,false
P-00037,5493517000019,25019,20102,POETT 900ml BEBE MULTIESP Desinf.,3,1734.11,4,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00037,5493517000019,25019,1003,FOAMY REGULAR X 312 GR,3,8931.82,4,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00037,5493517000019,25019,8106,CEP. ORAL-B 123 x2,3,2687.94,4,Pedido: 3 unidad (normalizado: 108 unidad; equiv: 3 unidad),true,false,false
P-00038,5493517000019,25019,10114,TERMA LIMON PET 1.35L,1,1574.76,4,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00039,5493517000020,25020,18729,MAGISTRAL GATILLO X 500ml LIMON ANTIGRASA,2,4211.71,1,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00039,5493517000020,25020,10054,FERNET 1882 450ml,5,6249.16,1,Pedido: 5 unidad (normalizado: 30 unidad; equiv: 5 unidad),true,false,false
P-00040,5493517000020,25020,10003,AMERICANO GANCIA 450ml 14°,2,4178.44,1,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00041,5493517000021,25021,20032,LAVANDINA 1L MULTISUP LAVANDA AYUDIN,4,2118.55,2,Pedido: 4 unidad (normalizado: 60 unidad; equiv: 4 unidad),true,false,false
P-00042,5493517000021,25021,18729,MAGISTRAL GATILLO X 500ml LIMON ANTIGRASA,4,4843.47,2,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00043,5493517000022,25022,10003,AMERICANO GANCIA 450ml 14°,3,3760.60,3,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00043,5493517000022,25022,20102,POETT 900ml BEBE MULTIESP Desinf.,5,1836.12,3,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00043,5493517000022,25022,20104,POETT 900ml ESPIRITU MULTIESP Desinf.,3,1836.12,3,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00043,5493517000022,25022,10107,TERMA POMELO PET 1.35L,4,1667.39,3,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00044,5493517000022,25022,551,HS 375ml SH ANTICOMEZON,2,8591.10,3,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00045,5493517000023,25023,10107,TERMA POMELO PET 1.35L,4,1574.76,4,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00045,5493517000023,25023,18805,CHOCMAN BAÑO SEMIAMARGO 35 GR,2,595.10,4,Pedido: 2 unidad (normalizado: 36 unidad; equiv: 2 unidad),true,false,false
P-00046,5493517000023,25023,1641,MAGISTRAL LIMON 300ML,4,1946.58,4,Pedido: 4 unidad (normalizado: 84 unidad; equiv: 4 unidad),true,false,false
P-00046,5493517000023,25023,20109,POETT 900ml ALEGRA TU DIA MULTIESP Desinf.,3,1734.11,4,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00047,5493517000024,25024,20102,POETT 900ml BEBE MULTIESP Desinf.,1,2040.13,1,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00047,5493517000024,25024,17500,PANTENE CREM. PEIN. KERATINA X 300ML,1,8490.55,1,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00047,5493517000024,25024,18342,ZORRO JB LIQ DP Evol Quitamanchas 800ml,5,2654.98,1,Pedido: 5 unidad (normalizado: 70 unidad; equiv: 5 unidad),true,false,false
P-00048,5493517000024,25024,18260,PLB CN X1LTR Brillo Corazón,4,3493.58,1,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00048,5493517000024,25024,18400,ZORRO JAB. EN PAN X2 Clásico 150gs,1,1947.64,1,Pedido: 1 unidad (normalizado: 42 unidad; equiv: 1 unidad),true,false,false
P-00048,5493517000024,25024,5603,FELFORT MENTITAS 30 X 16 GRS,3,17466.36,1,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00048,5493517000024,25024,11282,SUEROX LIMONADA 630ML,4,1797.94,1,Pedido: 4 unidad (normalizado: 24 unidad; equiv: 4 unidad),true,false,false
P-00049,5493517000025,25025,18400,ZORRO JAB. EN PAN X2 Clásico 150gs,5,2239.79,2,Pedido: 5 unidad (normalizado: 210 unidad; equiv: 5 unidad),true,false,false
P-00049,5493517000025,25025,1192,PAMPERS BABYDRY GDE X8,4,4416.98,2,Pedido: 4 unidad (normalizado: 64 unidad; equiv: 4 unidad),true,false,false
P-00049,5493517000025,25025,551,HS 375ml SH ANTICOMEZON,1,10977.52,2,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00050,5493517000025,25025,10240,MI CHANCES MALBEC-CABERNET 750cc,3,6238.23,2,Pedido: 3 unidad (normalizado: 18 unidad; equiv: 3 unidad),true,false,false
P-00050,5493517000025,25025,10003,AMERICANO GANCIA 450ml 14°,2,4805.21,2,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00051,5493517000026,25026,10109,TERMA SERRANO PET 1.35L,4,1667.39,3,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00052,5493517000026,25026,10043,DR LEMON 473ml VODKA 5º,5,1734.96,3,Pedido: 5 unidad (normalizado: 120 unidad; equiv: 5 unidad),true,false,false
P-00053,5493517000027,25027,18353,ZORRO ULTRA DETERG. BOT300ml Limon Original Glicer,5,1126.49,4,Pedido: 5 unidad (normalizado: 80 unidad; equiv: 5 unidad),true,false,false
P-00054,5493517000027,25027,10044,DR LEMON 473ml LIMÓN 4º,3,1638.57,4,Pedido: 3 unidad (normalizado: 72 unidad; equiv: 3 unidad),true,false,false
P-00054,5493517000027,25027,18389,ZORRO SUAVIZ. X3L DP Elegante,2,8300.67,4,Pedido: 2 unidad (normalizado: 8 unidad; equiv: 2 unidad),true,false,false
P-00055,5493517000028,25028,8006,PASTA ORAL-B 70g 123,2,1799.48,1,Pedido: 2 unidad (normalizado: 96 unidad; equiv: 2 unidad),true,false,false
P-00055,5493517000028,25028,18928,CHOCMAN COCO x 35G,3,700.12,1,Pedido: 3 unidad (normalizado: 54 unidad; equiv: 3 unidad),true,false,false
P-00055,5493517000028,25028,10112,TERMA CUYANO PET 1.35L,2,1852.66,1,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00055,5493517000028,25028,10107,TERMA POMELO PET 1.35L,4,1852.66,1,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00056,5493517000028,25028,1192,PAMPERS BABYDRY GDE X8,5,3840.85,1,Pedido: 5 unidad (normalizado: 80 unidad; equiv: 5 unidad),true,false,false
P-00056,5493517000028,25028,11011,YM TARAGUI C/P 1/2 kg,2,2948.83,1,Pedido: 2 unidad (normalizado: 20 unidad; equiv: 2 unidad),true,false,false
P-00056,5493517000028,25028,20305,REPELENTE SELTON DIARIO 165ml,5,5615.10,1,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00057,5493517000029,25029,1880,PASTA ORAL-B 150gr 123,4,5622.05,2,Pedido: 4 unidad (normalizado: 96 unidad; equiv: 4 unidad),true,false,false
P-00057,5493517000029,25029,20410,TRENET POWER 120g DP POLVO,1,2625.81,2,Pedido: 1 unidad (normalizado: 24 unidad; equiv: 1 unidad),true,false,false
P-00057,5493517000029,25029,11234,DOWNY 1L BRISA INTENSO,2,13111.03,2,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00057,5493517000029,25029,10065,BACARDI CARTA BLANCA 980ml PT 40°,1,24711.86,2,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00058,5493517000029,25029,11011,YM TARAGUI C/P 1/2 kg,5,3391.15,2,Pedido: 5 unidad (normalizado: 50 unidad; equiv: 5 unidad),true,false,false
P-00058,5493517000029,25029,8105,CEP. ORAL-B 123 x1,2,1238.17,2,Pedido: 2 unidad (normalizado: 72 unidad; equiv: 2 unidad),true,false,false
P-00058,5493517000029,25029,11071,YM MAÑANITA BCP 1/2 kg,3,3391.15,2,Pedido: 3 unidad (normalizado: 30 unidad; equiv: 3 unidad),true,false,false
P-00058,5493517000029,25029,20410,TRENET POWER 120g DP POLVO,2,2625.81,2,Pedido: 2 unidad (normalizado: 48 unidad; equiv: 2 unidad),true,false,false
P-00059,5493517000030,25030,11685,GUANTE LATEX PATITO GDE,2,1749.75,3,Pedido: 2 unidad (normalizado: 288 unidad; equiv: 2 unidad),true,false,false
P-00060,5493517000030,25030,20032,LAVANDINA 1L MULTISUP LAVANDA AYUDIN,1,1658.00,3,Pedido: 1 unidad (normalizado: 15 unidad; equiv: 1 unidad),true,false,false
P-00061,5493517000031,25031,116,PANTENE 300ml SH KERATINA,2,5663.38,4,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00062,5493517000031,25031,116,PANTENE 300ml SH KERATINA,3,5663.38,4,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00062,5493517000031,25031,1014,PILA AA X 2 DURACELL,3,2279.05,4,Pedido: 3 unidad (normalizado: 144 unidad; equiv: 3 unidad),true,false,false
P-00062,5493517000031,25031,18828,NUGATON LECHE X 27 GRS,2,649.68,4,Pedido: 2 unidad (normalizado: 576 unidad; equiv: 2 unidad),true,false,false
P-00063,5493517000032,25032,1095,DOWNY 500ml BRISA SUAVE,1,5736.69,1,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00063,5493517000032,25032,10053,FERNET 1882 750ml,2,7705.10,1,Pedido: 2 unidad (normalizado: 12 unidad; equiv: 2 unidad),true,false,false
P-00063,5493517000032,25032,1643,MAGISTRAL LIMON 750ML,2,5425.27,1,Pedido: 2 unidad (normalizado: 36 unidad; equiv: 2 unidad),true,false,false
P-00063,5493517000032,25032,550,PRESTO ULTRA GRIP X UNIDAD (NUEVA),2,1120.73,1,Pedido: 2 unidad (normalizado: 1152 unidad; equiv: 2 unidad),true,false,false
P-00064,5493517000032,25032,8006,PASTA ORAL-B 70g 123,3,1799.48,1,Pedido: 3 unidad (normalizado: 144 unidad; equiv: 3 unidad),true,false,false
P-00064,5493517000032,25032,18342,ZORRO JB LIQ DP Evol Quitamanchas 800ml,4,2654.98,1,Pedido: 4 unidad (normalizado: 56 unidad; equiv: 4 unidad),true,false,false
P-00064,5493517000032,25032,10043,DR LEMON 473ml VODKA 5º,4,1927.73,1,Pedido: 4 unidad (normalizado: 96 unidad; equiv: 4 unidad),true,false,false
P-00064,5493517000032,25032,1098,DOWNY 1L BRISA SUAVE,2,11400.90,1,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00065,5493517000033,25033,17500,PANTENE CREM. PEIN. KERATINA X 300ML,4,9764.13,2,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00065,5493517000033,25033,10054,FERNET 1882 450ml,1,7186.53,2,Pedido: 1 unidad (normalizado: 6 unidad; equiv: 1 unidad),true,false,false
P-00065,5493517000033,25033,1451,PANTENE 400ml AC RESTAURACION,2,8511.52,2,Pedido: 2 unidad (normalizado: 24 unidad; equiv: 2 unidad),true,false,false
P-00066,5493517000033,25033,1430,PRESTO 3 BLISTER X 2 UNID,2,6936.04,2,Pedido: 2 unidad (normalizado: 144 unidad; equiv: 2 unidad),true,false,false
