pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,6,BARRAS DE CEREAL ORIGINAL 15X23 GR,3,13616.00,2,Pedido: 3 1 (normalizado: 69 1; equiv: 3 1),true,false,false
P-00005,5493582641213,25002,10160,POMELO ROSADO 500 ML PLACER,4,7083.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00005,5493582641213,25002,10041,MANAOS LATA LIMA X6 UNIDADES,1,5094.00,3,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00006,5493582641213,25002,315,SODA SIFON 2 lts. X6 MANAOS,2,9441.00,3,Pedido: 2 1 (normalizado: 12 1; equiv: 2 1),true,false,false
P-00007,5492991227644,25003,10087,SINFONIA DUO FRUTILLA C/CREMA 1X50GRS GAONA,2,425.00,4,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00007,5492991227644,25003,10051,CRUNCHIPS COLORES 1X132GRS GAONA,1,1037.00,4,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00007,5492991227644,25003,10115,ANILLO COCO 1X220GRS GAONA,5,1130.50,4,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00008,5492991227644,25003,345,MANZANA 200 CC X18 PINDAPOY,2,7939.00,4,Pedido: 2 1 (normalizado: 36 1; equiv: 2 1),true,false,false
P-00009,5492991227644,25003,453,PALITOS GALÁCTICO 1X150G OVNI,5,1385.50,4,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00010,5493418277249,25004,295,COLA 3 lts. X 6 MANAOS,4,10800.00,1,Pedido: 4 1 (normalizado: 24 1; equiv: 4 1),true,false,false
P-00010,5493418277249,25004,10089,SINFONIA FRUTILLA 1X50GRS GAONA,2,500.00,1,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00011,5493418277249,25004,318,AGUA 2 lts. X6 VILLA MANAOS,3,5040.00,1,Pedido: 3 1 (normalizado: 18 1; equiv: 3 1),true,false,false
P-00011,5493418277249,25004,10169,LOMITO DE ATUN AL NATURAL BAHIA 170G,3,3040.00,1,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00011,5493418277249,25004,10146,CUBICUB DOS CHOCOLATES 1X100 GR GAONA,1,950.00,1,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00012,5493418277249,25004,321,MANZANA 1 LITRO PINDAPOY,4,14550.00,1,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00013,5493587747641,25005,10147,MAYONESA NATURA 12X250GR,2,19170.50,2,Pedido: 2 1 (normalizado: 24 1; equiv: 2 1),true,false,false
P-00013,5493587747641,25005,10111,CHIPS CHOCO BLANCO 1X230GRS GAONA,4,1667.50,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00013,5493587747641,25005,10171,DURAZNOS EN MITADES BAHIA 820G,1,3680.00,2,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00013,5493587747641,25005,10132,ALAMESA TOSTADAS DE ARROZ DULCES 1X150GRS GAONA,3,2185.00,2,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00014,5493587747641,25005,10113,CHIPS DDL 1X200GRS GAONA,5,1667.50,2,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00014,5493587747641,25005,315,SODA SIFON 2 lts. X6 MANAOS,4,12063.50,2,Pedido: 4 1 (normalizado: 24 1; equiv: 4 1),true,false,false
P-00015,5493587747641,25005,10166,CERVEZA PURA MALTA SMITH 44 LATA 6X473 ML,2,12788.00,2,Pedido: 2 1 (normalizado: 12 1; equiv: 2 1),true,false,false
P-00015,5493587747641,25005,283,NARANJA 600ml X 12 MANAOS,2,10764.00,2,Pedido: 2 1 (normalizado: 24 1; equiv: 2 1),true,false,false
P-00015,5493587747641,25005,229,ATUN BAHIA AL NAT. DESM. 170 GR,5,1782.50,2,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00015,5493587747641,25005,316,AGUA 600ml X12 VILLA MANAOS,4,6842.50,2,Pedido: 4 1 (normalizado: 48 1; equiv: 4 1),true,false,false
P-00016,5492614053074,25006,10100,MAGDALENA FIESTA VAINILLA 1X200GRS GAONA,4,1665.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00016,5492614053074,25006,310,POMELO 1.5 lts. X6 PLACER,1,6732.00,3,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00016,5492614053074,25006,461,PIMENTON BASILIA 1 X 25GR,1,387.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00017,5492614053074,25006,304,POMELO 500ml X12 PLACER,2,7083.00,3,Pedido: 2 1 (normalizado: 24 1; equiv: 2 1),true,false,false
P-00017,5492614053074,25006,10088,SINFONIA DUO DOS CHOCOLATES 1X50GRS GAONA,5,450.00,3,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00018,5492614053074,25006,10071,CUBICUB LEMON PIE 1X100GRS GAONA,3,855.00,3,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00018,5492614053074,25006,301,POMELO BLANCO 3 lts. X 6 MANAOS,2,9720.00,3,Pedido: 2 1 (normalizado: 12 1; equiv: 2 1),true,false,false
P-00018,5492614053074,25006,464,CONITOS GALACTICOS 1X180GR OVNI,1,3312.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00018,5492614053074,25006,10095,MAGDALENA BICOLOR 1X200GRS GAONA,4,1665.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00019,5493514079279,25007,10053,CRUNCHIPS 1X132GRS GAONA,4,1037.00,4,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00019,5493514079279,25007,10026,YERBA MATE NATURA SAB. NARANJA 500 G,1,1317.50,4,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00019,5493514079279,25007,308,MULTIFRUTA 500ml X12 PLACER,2,6689.50,4,Pedido: 2 1 (normalizado: 24 1; equiv: 2 1),true,false,false
P-00019,5493514079279,25007,10145,CHOCOLATADA CRUNCHIPS 1X300 GR GAONA,1,2014.50,4,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00020,5493514079279,25007,380,DURAZNO 1 LITRO PINDAPOY,5,12367.50,4,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00020,5493514079279,25007,10119,MASITA COCO 1X220GRS GAONA,5,1130.50,4,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00020,5493514079279,25007,10047,POMELO ROSADO 1.5 LTS X6 PLACER,1,6358.00,4,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00020,5493514079279,25007,294,COLA S/AZUCAR 2.25 lts. X 6 MANAOS,1,9715.50,4,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00021,5493514079279,25007,10051,CRUNCHIPS COLORES 1X132GRS GAONA,5,1037.00,4,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00021,5493514079279,25007,318,AGUA 2 lts. X6 VILLA MANAOS,3,4284.00,4,Pedido: 3 1 (normalizado: 18 1; equiv: 3 1),true,false,false
P-00021,5493514079279,25007,10137,VALENCIANO MASITA VAINILLA 1X150GR,1,663.00,4,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00021,5493514079279,25007,303,NARANJA 500ml X12 PLACER,5,6689.50,4,Pedido: 5 1 (normalizado: 60 1; equiv: 5 1),true,false,false
P-00022,5493876914178,25008,10048,CRUNCHIPS MINI 1X70GRS GAONA,1,700.00,1,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00022,5493876914178,25008,10092,SINFONIA THINS 1X50GRS GAONA,2,500.00,1,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00023,5493876914178,25008,10101,MAGDALENA LIMON 1X200GRS GAONA,4,1850.00,1,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00023,5493876914178,25008,10075,CUBICUB BON 1X100GRS GAONA,5,950.00,1,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00023,5493876914178,25008,13,PALITOS DE MAIZ (AMARILLOS) X1KG OVNI,5,4200.00,1,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00024,5493876914178,25008,294,COLA S/AZUCAR 2.25 lts. X 6 MANAOS,4,11430.00,1,Pedido: 4 1 (normalizado: 24 1; equiv: 4 1),true,false,false
P-00025,5492617175545,25009,10133,ALAMESA TOSTADAS DE ARROZ SIN SAL 1X150GRS GAONA,4,2185.00,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00025,5492617175545,25009,10026,YERBA MATE NATURA SAB. NARANJA 500 G,4,1782.50,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00026,5492617175545,25009,13,PALITOS DE MAIZ (AMARILLOS) X1KG OVNI,3,4830.00,2,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00027,5492617175545,25009,395,GRANADINA 3 LTS X6 MANAOS,2,12420.00,2,Pedido: 2 1 (normalizado: 12 1; equiv: 2 1),true,false,false
P-00027,5492617175545,25009,10022,YERBA MATE NATURA SUAVE 500 G,4,1759.50,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00027,5492617175545,25009,304,POMELO 500ml X12 PLACER,1,9050.50,2,Pedido: 1 1 (normalizado: 12 1; equiv: 1 1),true,false,false
P-00028,5493818437953,25010,10115,ANILLO COCO 1X220GRS GAONA,1,1197.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00028,5493818437953,25010,306,PERA 500ml X12 PLACER,1,7083.00,3,Pedido: 1 1 (normalizado: 12 1; equiv: 1 1),true,false,false
P-00029,5493818437953,25010,10014,ARITOS GALACTICOS SABOR CEBOLLA X60GR OVNI,1,999.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00029,5493818437953,25010,311,MANZANA 1.5 lts. X6 PLACER,1,6732.00,3,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00029,5493818437953,25010,10086,SINFONIA (CLASICA) VAINILLA 1X50GRS GAONA,2,450.00,3,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00029,5493818437953,25010,10059,SABORES DE LA VIDA AVENA/MANZANA 1X160GRS GAONA,2,1098.00,3,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00030,5493818437953,25010,10171,DURAZNOS EN MITADES BAHIA 820G,3,2880.00,3,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00031,5493582132179,25011,10170,LOMITO DE ATUN EN ACEITE Y AGUA BAHIA 170G,2,2584.00,4,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00031,5493582132179,25011,433,MAIZ INFLADO / TUTUCA 5X200G OVNI,2,5771.50,4,Pedido: 2 1 (normalizado: 10 1; equiv: 2 1),true,false,false
P-00032,5493582132179,25011,10054,CRUNCHIPS DARK 1X132GRS GAONA,1,1037.00,4,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00032,5493582132179,25011,10165,CERVEZA PILSEN CONTI ZERO GRAU 6X473 ML,1,7191.00,4,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00033,5493582132179,25011,3,LECHE CHOCOLATADA CRUNCHIP 18X200ML,2,14263.00,4,Pedido: 2 1 (normalizado: 36 1; equiv: 2 1),true,false,false
P-00033,5493582132179,25011,10167,CERVEZA PURA MALTA SMITH 44 BOTELLA 24X330 ML,3,42772.00,4,Pedido: 3 1 (normalizado: 72 1; equiv: 3 1),true,false,false
P-00033,5493582132179,25011,461,PIMENTON BASILIA 1 X 25GR,4,365.50,4,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00033,5493582132179,25011,10061,SABORES DE LA VIDA AVENA/MIEL 1X160GRS GAONA,1,1037.00,4,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00034,5493872845902,25012,435,MANI SALADO 5X160G OVNI,5,5790.00,1,Pedido: 5 1 (normalizado: 25 1; equiv: 5 1),true,false,false
P-00034,5493872845902,25012,10086,SINFONIA (CLASICA) VAINILLA 1X50GRS GAONA,1,500.00,1,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00035,5493872845902,25012,10139,POMELO BLANCO 1.5LTS X 6 MANAOS,2,7750.00,1,Pedido: 2 1 (normalizado: 12 1; equiv: 2 1),true,false,false
P-00035,5493872845902,25012,10107,MINI BUDINES VAINILLA 1X180GRS GAONA,1,1850.00,1,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00036,5493872845902,25012,10135,VALENCIANO PEPAS 1X150GRS,2,780.00,1,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00037,5492997670210,25013,10128,ALAMESA TOSTADA CLASICA 1X200GRS GAONA,3,1633.00,2,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00038,5492997670210,25013,10163,ARMA TU CUMPLE,4,35914.50,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00038,5492997670210,25013,319,AGUA BIDON 6lts. VILLA MANAOS,1,2564.50,2,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00039,5492997670210,25013,10049,CRUNCHIPS DDL 1X132GRS GAONA,3,1403.00,2,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00039,5492997670210,25013,457,CHIMICHURRI BASILIA 1 X 25GR,2,448.50,2,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00040,5493811657614,25014,10062,SABORES DE LA VIDA AVENA/CACAO/MIEL 1X160GRS GAONA,1,1098.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00041,5493811657614,25014,10074,CUBICUB VOLCAN DE CHOCOLATE 1X100GRS GAONA,4,855.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00041,5493811657614,25014,10115,ANILLO COCO 1X220GRS GAONA,4,1197.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00042,5493811657614,25014,347,NARANJA 200 CC X18 PINDAPOY,5,8406.00,3,Pedido: 5 1 (normalizado: 90 1; equiv: 5 1),true,false,false
P-00042,5493811657614,25014,297,NARANJA 3 lts. X 6 MANAOS,3,9720.00,3,Pedido: 3 1 (normalizado: 18 1; equiv: 3 1),true,false,false
P-00042,5493811657614,25014,306,PERA 500ml X12 PLACER,3,7083.00,3,Pedido: 3 1 (normalizado: 36 1; equiv: 3 1),true,false,false
P-00043,5492994145193,25015,356,AGUA EL SANO CORAZON ARGENTINO 1.5 LTS. X 6 S/GAS,5,3748.50,4,Pedido: 5 1 (normalizado: 30 1; equiv: 5 1),true,false,false
P-00043,5492994145193,25015,10085,SINFONIA CHOCOLATE 1X50GRS GAONA,3,425.00,4,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00043,5492994145193,25015,10130,ALAMESA TOSTADA LIGHT 1X200GRS GAONA,5,1207.00,4,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00043,5492994145193,25015,10056,CRUNCHIPS COLORES POCKET 1X72GRS GAONA,3,476.00,4,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00044,5492994145193,25015,295,COLA 3 lts. X 6 MANAOS,5,9180.00,4,Pedido: 5 1 (normalizado: 30 1; equiv: 5 1),true,false,false
P-00044,5492994145193,25015,284,POMELO BLANCO 600ml X 12 MANAOS,5,7956.00,4,Pedido: 5 1 (normalizado: 60 1; equiv: 5 1),true,false,false
P-00044,5492994145193,25015,10049,CRUNCHIPS DDL 1X132GRS GAONA,3,1037.00,4,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00044,5492994145193,25015,10164,CERVEZA PILSEN SAMBA LATA 6X473ML,1,6162.50,4,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00045,5492994145193,25015,10134,VALENCIANO CHIPS 1X150 GRS,3,663.00,4,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00046,5493515971311,25016,472,TONICA SIN AZÚCAR MANAOS 2.25 LTS.,1,11430.00,1,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00047,5493515971311,25016,10166,CERVEZA PURA MALTA SMITH 44 LATA 6X473 ML,5,11120.00,1,Pedido: 5 1 (normalizado: 30 1; equiv: 5 1),true,false,false
P-00048,5493515971311,25016,10119,MASITA COCO 1X220GRS GAONA,2,1330.00,1,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00048,5493515971311,25016,10070,CUBICUB FRUTILLA 1X100GRS GAONA,2,950.00,1,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00048,5493515971311,25016,308,MULTIFRUTA 500ml X12 PLACER,1,7870.00,1,Pedido: 1 1 (normalizado: 12 1; equiv: 1 1),true,false,false
P-00048,5493515971311,25016,10090,SINFONIA LIMON 1X50GRS GAONA,1,500.00,1,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00049,5492994228106,25017,379,DURAZNO 200 CC X18 PINDAPOY,2,10741.00,2,Pedido: 2 1 (normalizado: 36 1; equiv: 2 1),true,false,false
P-00049,5492994228106,25017,10104,MAGDALENA VAINILLA C/CHIPS 1X180GRS GAONA,4,2127.50,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00049,5492994228106,25017,10131,ALAMESA TOSTADAS DE ARROZ CLÁSICAS 1X150GRS GAONA,5,2185.00,2,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00050,5492994228106,25017,462,PROVENZAL BASILIA 1X25 GR,4,540.50,2,Pedido: 4 1 (normalizado: 100 1; equiv: 4 1),true,false,false
P-00051,5492994228106,25017,10080,SINFONIA (CLASICA) VAINILLA 1X100GRS GAONA,1,954.50,2,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00051,5492994228106,25017,319,AGUA BIDON 6lts. VILLA MANAOS,2,2564.50,2,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00052,5492998718887,25018,10140,COLA 1.5 LTS X 6 MANAOS,1,6975.00,3,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00052,5492998718887,25018,10095,MAGDALENA BICOLOR 1X200GRS GAONA,4,1665.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00052,5492998718887,25018,300,MANZANA 3 lts. X 6 MANAOS,4,9720.00,3,Pedido: 4 1 (normalizado: 24 1; equiv: 4 1),true,false,false
P-00052,5492998718887,25018,453,PALITOS GALÁCTICO 1X150G OVNI,2,1467.00,3,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00053,5492998718887,25018,10116,ANILLO LIMON 1X220GRS GAONA,1,1197.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00053,5492998718887,25018,440,PAPAS FRITAS 5X90G OVNI,4,7263.00,3,Pedido: 4 1 (normalizado: 20 1; equiv: 4 1),true,false,false
P-00054,5492998718887,25018,10059,SABORES DE LA VIDA AVENA/MANZANA 1X160GRS GAONA,2,1098.00,3,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00054,5492998718887,25018,10034,VAGONETA GATOS X10KG,3,15552.00,3,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00054,5492998718887,25018,10031,MANZANILLA HURLINGHAM X25 SAQ. S/S,4,630.00,3,Pedido: 4 1 (normalizado: 100 1; equiv: 4 1),true,false,false
P-00054,5492998718887,25018,347,NARANJA 200 CC X18 PINDAPOY,1,8406.00,3,Pedido: 1 1 (normalizado: 18 1; equiv: 1 1),true,false,false
P-00055,5492995028869,25019,301,POMELO BLANCO 3 lts. X 6 MANAOS,5,9180.00,4,Pedido: 5 1 (normalizado: 30 1; equiv: 5 1),true,false,false
P-00055,5492995028869,25019,435,MANI SALADO 5X160G OVNI,1,4921.50,4,Pedido: 1 1 (normalizado: 5 1; equiv: 1 1),true,false,false
P-00055,5492995028869,25019,293,MANZANA 2.25 LTS. X 6 MANAOS,3,7420.50,4,Pedido: 3 1 (normalizado: 18 1; equiv: 3 1),true,false,false
P-00055,5492995028869,25019,380,DURAZNO 1 LITRO PINDAPOY,5,12367.50,4,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00056,5492995028869,25019,10121,MASITA VAINILLA 1X220GRS GAONA,3,1130.50,4,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00056,5492995028869,25019,430,PALITOS DE MAIZ (NARANJA) 5X120G OVNI,5,3502.00,4,Pedido: 5 1 (normalizado: 25 1; equiv: 5 1),true,false,false
P-00057,5492995028869,25019,380,DURAZNO 1 LITRO PINDAPOY,1,12367.50,4,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00057,5492995028869,25019,10088,SINFONIA DUO DOS CHOCOLATES 1X50GRS GAONA,2,425.00,4,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00058,5493517304254,25020,10047,POMELO ROSADO 1.5 LTS X6 PLACER,1,7480.00,1,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00059,5493517304254,25020,10054,CRUNCHIPS DARK 1X132GRS GAONA,3,1220.00,1,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00059,5493517304254,25020,10121,MASITA VAINILLA 1X220GRS GAONA,2,1330.00,1,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00060,5493517304254,25020,322,MULTIFRUTA 1 LITRO X8 PINDAPOY,4,14550.00,1,Pedido: 4 1 (normalizado: 32 1; equiv: 4 1),true,false,false
P-00061,5493416986538,25021,338,POMELO ROSADO 2.25 LTS. X 6 MANAOS,5,13041.00,2,Pedido: 5 1 (normalizado: 30 1; equiv: 5 1),true,false,false
P-00061,5493416986538,25021,10129,ALAMESA TOSTADA DULCES 1X200GRS GAONA,2,1633.00,2,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00061,5493416986538,25021,10097,MAGDALENA (CLASICA) VAINILLA 1X200GRS GAONA,1,2127.50,2,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00062,5493416986538,25021,320,NARANJA 1 LITRO X8 PINDAPOY,3,16732.50,2,Pedido: 3 1 (normalizado: 24 1; equiv: 3 1),true,false,false
P-00063,5493416986538,25021,361,F-NANDITO VII SIMPLE 1 LITRO X6,3,6946.00,2,Pedido: 3 1 (normalizado: 18 1; equiv: 3 1),true,false,false
P-00063,5493416986538,25021,464,CONITOS GALACTICOS 1X180GR OVNI,4,4232.00,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00063,5493416986538,25021,10045,SURTIDO MANAOS LATA X6 UNIDADES,1,6509.00,2,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00063,5493416986538,25021,293,MANZANA 2.25 LTS. X 6 MANAOS,1,10039.50,2,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00064,5492619239862,25022,311,MANZANA 1.5 lts. X6 PLACER,3,6732.00,3,Pedido: 3 1 (normalizado: 18 1; equiv: 3 1),true,false,false
P-00064,5492619239862,25022,314,MULTIFRUTA 1.5 lts. X6 PLACER,5,6732.00,3,Pedido: 5 1 (normalizado: 30 1; equiv: 5 1),true,false,false
P-00064,5492619239862,25022,297,NARANJA 3 lts. X 6 MANAOS,4,9720.00,3,Pedido: 4 1 (normalizado: 24 1; equiv: 4 1),true,false,false
P-00064,5492619239862,25022,10086,SINFONIA (CLASICA) VAINILLA 1X50GRS GAONA,2,450.00,3,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00065,5492619239862,25022,319,AGUA BIDON 6lts. VILLA MANAOS,4,2007.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00065,5492619239862,25022,310,POMELO 1.5 lts. X6 PLACER,4,6732.00,3,Pedido: 4 1 (normalizado: 24 1; equiv: 4 1),true,false,false
P-00065,5492619239862,25022,213,PAPAS FRITAS GALACTICAS 1X90 GR,2,1773.00,3,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00065,5492619239862,25022,10131,ALAMESA TOSTADAS DE ARROZ CLÁSICAS 1X150GRS GAONA,5,1710.00,3,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00066,5492619239862,25022,10110,BIZCOCHO SALADO 1X180GRS GAONA,5,801.00,3,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00066,5492619239862,25022,10071,CUBICUB LEMON PIE 1X100GRS GAONA,4,855.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
