pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,F410,AGUA VIDA BAGGGIO MANZANA 1U X 1.5LT,1,1610.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00007,5493418277249,25004,F015,LIQ DESINF 1 X900CC ESENCIAL PINO,4,1034.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00008,5493418277249,25004,F144,PAN BLANCO 1U X 315GR BOH,5,1930.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00008,5493418277249,25004,F201,YERBA PLAYADITO 1U X 1KG,3,4050.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00008,5493418277249,25004,F281,BELDENT FRUTILLA X 20UN,2,13990.00,1,Pedido: 2 unidad (normalizado: 40 unidad; equiv: 2 unidad),true,false,false
P-00008,5493418277249,25004,F355,MARLBORO BOX 20,5,6340.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00009,5493587747641,25005,F037,TRAPO PISO BLANCO X1X60X50CM,1,1656.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00010,5493587747641,25005,F037,TRAPO PISO BLANCO X1X60X50CM,1,1656.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00010,5493587747641,25005,F067,ARROZ MITAI CALIDAD 0000,1,632.50,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00010,5493587747641,25005,F048,ROLLO COCINA X3X50P,1,2127.50,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00011,5492614053074,25006,F001,LAVANDINA COMUN X 1 LT X 1 SEDILE,4,720.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00012,5492614053074,25006,F067,ARROZ MITAI CALIDAD 0000,5,495.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00012,5492614053074,25006,F055,TAKIS FUEGO 1 P 140 G FLOW BAR EXP,4,2925.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00013,5493514079279,25007,F401,LUCKY RED 20,2,1853.00,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00013,5493514079279,25007,F138,VAINILLAS 1U X 148G VALENTE,1,867.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00013,5493514079279,25007,F281,BELDENT FRUTILLA X 20UN,5,11891.50,4,Pedido: 5 unidad (normalizado: 100 unidad; equiv: 5 unidad),true,false,false
P-00014,5493514079279,25007,F015,LIQ DESINF 1 X900CC ESENCIAL PINO,3,878.90,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00014,5493514079279,25007,F281,BELDENT FRUTILLA X 20UN,1,11891.50,4,Pedido: 1 unidad (normalizado: 20 unidad; equiv: 1 unidad),true,false,false
P-00014,5493514079279,25007,F138,VAINILLAS 1U X 148G VALENTE,4,867.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00014,5493514079279,25007,F140,RAPIDITAS CLASIC 1U X 240GR,5,1785.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00015,5493876914178,25008,F171,JUGO DE NARANJA PURA FRUTTA 1U X 1LT,1,2790.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00015,5493876914178,25008,F361,MARLBORO PURPLE 12,2,3790.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00015,5493876914178,25008,F027,LIQ P LAVAR ROPA 1 X800 CLOW,3,1885.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00016,5493876914178,25008,F037,TRAPO PISO BLANCO X1X60X50CM,3,1440.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00016,5493876914178,25008,F144,PAN BLANCO 1U X 315GR BOH,5,1930.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00016,5493876914178,25008,F227,YERBA PLAYADITO 1U X 500GR,4,2165.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00016,5493876914178,25008,F034,ALFAJOR GENIO TRIPLE NEGRO X 24U,5,7960.00,1,Pedido: 5 unidad (normalizado: 120 unidad; equiv: 5 unidad),true,false,false
P-00017,5492617175545,25009,F361,MARLBORO PURPLE 12,2,4358.50,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00017,5492617175545,25009,F121,FIDEO TIRABUZON SANTA ISABEL 1U X 500GR,4,851.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00018,5492617175545,25009,F355,MARLBORO BOX 20,1,7291.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00019,5493818437953,25010,F144,PAN BLANCO 1U X 315GR BOH,4,1737.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00019,5493818437953,25010,F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,4,1224.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00020,5493818437953,25010,F055,TAKIS FUEGO 1 P 140 G FLOW BAR EXP,5,2925.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00020,5493818437953,25010,F201,YERBA PLAYADITO 1U X 1KG,3,3645.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00021,5493582132179,25011,F171,JUGO DE NARANJA PURA FRUTTA 1U X 1LT,1,2371.50,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00022,5493582132179,25011,F361,MARLBORO PURPLE 12,4,3221.50,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00023,5493872845902,25012,F144,PAN BLANCO 1U X 315GR BOH,1,1930.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00023,5493872845902,25012,F227,YERBA PLAYADITO 1U X 500GR,5,2165.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00023,5493872845902,25012,F401,LUCKY RED 20,5,2180.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00024,5493872845902,25012,F067,ARROZ MITAI CALIDAD 0000,4,550.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00024,5493872845902,25012,F144,PAN BLANCO 1U X 315GR BOH,1,1930.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00024,5493872845902,25012,F401,LUCKY RED 20,5,2180.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00024,5493872845902,25012,F041,PAPEL HIG. X 1 X 50MTS,2,660.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00025,5492997670210,25013,F055,TAKIS FUEGO 1 P 140 G FLOW BAR EXP,3,3737.50,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00025,5492997670210,25013,F144,PAN BLANCO 1U X 315GR BOH,4,2219.50,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00026,5492997670210,25013,F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,5,1463.95,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00026,5492997670210,25013,F055,TAKIS FUEGO 1 P 140 G FLOW BAR EXP,4,3737.50,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00026,5492997670210,25013,F401,LUCKY RED 20,5,2507.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00027,5493811657614,25014,F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,1,1145.70,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00027,5493811657614,25014,F201,YERBA PLAYADITO 1U X 1KG,5,3645.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00027,5493811657614,25014,F171,JUGO DE NARANJA PURA FRUTTA 1U X 1LT,1,2511.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00027,5493811657614,25014,F001,LAVANDINA COMUN X 1 LT X 1 SEDILE,2,720.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00028,5493811657614,25014,F015,LIQ DESINF 1 X900CC ESENCIAL PINO,3,930.60,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00029,5492994145193,25015,F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,4,1156.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00029,5492994145193,25015,F401,LUCKY RED 20,5,1853.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00029,5492994145193,25015,F227,YERBA PLAYADITO 1U X 500GR,4,1840.25,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00030,5492994145193,25015,F201,YERBA PLAYADITO 1U X 1KG,3,3442.50,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00031,5493515971311,25016,F067,ARROZ MITAI CALIDAD 0000,5,550.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00031,5493515971311,25016,F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,5,1273.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00032,5493515971311,25016,F355,MARLBORO BOX 20,3,6340.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00032,5493515971311,25016,F027,LIQ P LAVAR ROPA 1 X800 CLOW,4,1885.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00032,5493515971311,25016,F067,ARROZ MITAI CALIDAD 0000,3,550.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00032,5493515971311,25016,F171,JUGO DE NARANJA PURA FRUTTA 1U X 1LT,1,2790.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00033,5492994228106,25017,F281,BELDENT FRUTILLA X 20UN,1,16088.50,2,Pedido: 1 unidad (normalizado: 20 unidad; equiv: 1 unidad),true,false,false
P-00033,5492994228106,25017,F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,3,1463.95,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00033,5492994228106,25017,F144,PAN BLANCO 1U X 315GR BOH,1,2219.50,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00033,5492994228106,25017,F003,LAVANDINA CONCENTRADA X 1L X 1 ESENCIAL,3,1173.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00034,5492994228106,25017,F041,PAPEL HIG. X 1 X 50MTS,2,759.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00034,5492994228106,25017,F227,YERBA PLAYADITO 1U X 500GR,3,2489.75,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00035,5492998718887,25018,F116,FIDEO SPAGHETTI MAROLIO 1U X 500GR,2,765.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00035,5492998718887,25018,F015,LIQ DESINF 1 X900CC ESENCIAL PINO,3,930.60,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00035,5492998718887,25018,F227,YERBA PLAYADITO 1U X 500GR,2,1948.50,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00036,5492998718887,25018,F121,FIDEO TIRABUZON SANTA ISABEL 1U X 500GR,5,666.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00036,5492998718887,25018,F067,ARROZ MITAI CALIDAD 0000,1,495.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00036,5492998718887,25018,F144,PAN BLANCO 1U X 315GR BOH,3,1737.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00036,5492998718887,25018,F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,5,1145.70,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00037,5492995028869,25019,F144,PAN BLANCO 1U X 315GR BOH,1,1640.50,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00037,5492995028869,25019,F067,ARROZ MITAI CALIDAD 0000,3,467.50,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00038,5492995028869,25019,F067,ARROZ MITAI CALIDAD 0000,2,467.50,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00038,5492995028869,25019,F140,RAPIDITAS CLASIC 1U X 240GR,5,1785.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00039,5493517304254,25020,F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,1,1360.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00039,5493517304254,25020,F048,ROLLO COCINA X3X50P,3,1850.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00040,5493517304254,25020,F171,JUGO DE NARANJA PURA FRUTTA 1U X 1LT,2,2790.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00040,5493517304254,25020,F201,YERBA PLAYADITO 1U X 1KG,3,4050.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00040,5493517304254,25020,F138,VAINILLAS 1U X 148G VALENTE,5,1020.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00041,5493416986538,25021,F048,ROLLO COCINA X3X50P,2,2127.50,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00041,5493416986538,25021,F355,MARLBORO BOX 20,5,7291.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00042,5493416986538,25021,F140,RAPIDITAS CLASIC 1U X 240GR,5,2415.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00042,5493416986538,25021,F138,VAINILLAS 1U X 148G VALENTE,4,1173.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00042,5493416986538,25021,F401,LUCKY RED 20,4,2507.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00042,5493416986538,25021,F116,FIDEO SPAGHETTI MAROLIO 1U X 500GR,2,977.50,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00043,5492619239862,25022,F227,YERBA PLAYADITO 1U X 500GR,1,1948.50,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00044,5492619239862,25022,F048,ROLLO COCINA X3X50P,1,1665.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00044,5492619239862,25022,F121,FIDEO TIRABUZON SANTA ISABEL 1U X 500GR,3,666.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00044,5492619239862,25022,F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,4,1145.70,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00045,5493513952681,25023,F116,FIDEO SPAGHETTI MAROLIO 1U X 500GR,3,722.50,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00046,5493513952681,25023,F116,FIDEO SPAGHETTI MAROLIO 1U X 500GR,1,722.50,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00046,5493513952681,25023,F144,PAN BLANCO 1U X 315GR BOH,3,1640.50,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00046,5493513952681,25023,F171,JUGO DE NARANJA PURA FRUTTA 1U X 1LT,1,2371.50,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00046,5493513952681,25023,F138,VAINILLAS 1U X 148G VALENTE,3,867.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00047,5493414799650,25024,F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,2,1360.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00048,5493414799650,25024,F201,YERBA PLAYADITO 1U X 1KG,3,4050.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00048,5493414799650,25024,F048,ROLLO COCINA X3X50P,5,1850.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00049,5492992500733,25025,F067,ARROZ MITAI CALIDAD 0000,5,632.50,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00049,5492992500733,25025,F121,FIDEO TIRABUZON SANTA ISABEL 1U X 500GR,2,851.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00049,5492992500733,25025,F144,PAN BLANCO 1U X 315GR BOH,2,2219.50,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00049,5492992500733,25025,F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,5,1463.95,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00050,5492992500733,25025,F361,MARLBORO PURPLE 12,4,4358.50,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00050,5492992500733,25025,F116,FIDEO SPAGHETTI MAROLIO 1U X 500GR,5,977.50,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00050,5492992500733,25025,F055,TAKIS FUEGO 1 P 140 G FLOW BAR EXP,2,3737.50,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00051,5492615139305,25026,F401,LUCKY RED 20,3,1962.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00052,5492615139305,25026,F281,BELDENT FRUTILLA X 20UN,5,12591.00,3,Pedido: 5 unidad (normalizado: 100 unidad; equiv: 5 unidad),true,false,false
P-00052,5492615139305,25026,F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,4,1224.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00052,5492615139305,25026,F201,YERBA PLAYADITO 1U X 1KG,5,3645.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00053,5492618861463,25027,F048,ROLLO COCINA X3X50P,5,1572.50,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00053,5492618861463,25027,F355,MARLBORO BOX 20,1,5389.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00054,5492618861463,25027,F410,AGUA VIDA BAGGGIO MANZANA 1U X 1.5LT,4,1190.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00054,5492618861463,25027,F144,PAN BLANCO 1U X 315GR BOH,4,1640.50,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00054,5492618861463,25027,F201,YERBA PLAYADITO 1U X 1KG,1,3442.50,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00054,5492618861463,25027,F003,LAVANDINA CONCENTRADA X 1L X 1 ESENCIAL,4,867.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00055,5493812941974,25028,F015,LIQ DESINF 1 X900CC ESENCIAL PINO,1,1034.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00056,5493812941974,25028,F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,3,1360.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00057,5493817404433,25029,F355,MARLBORO BOX 20,1,7291.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00057,5493817404433,25029,F121,FIDEO TIRABUZON SANTA ISABEL 1U X 500GR,3,851.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00057,5493817404433,25029,F055,TAKIS FUEGO 1 P 140 G FLOW BAR EXP,3,3737.50,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00057,5493817404433,25029,F041,PAPEL HIG. X 1 X 50MTS,2,759.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00058,5493817404433,25029,F003,LAVANDINA CONCENTRADA X 1L X 1 ESENCIAL,1,1173.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00058,5493817404433,25029,F055,TAKIS FUEGO 1 P 140 G FLOW BAR EXP,2,3737.50,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00058,5493817404433,25029,F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,2,1564.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00059,5493419686914,25030,F401,LUCKY RED 20,1,1962.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00059,5493419686914,25030,F281,BELDENT FRUTILLA X 20UN,2,12591.00,3,Pedido: 2 unidad (normalizado: 40 unidad; equiv: 2 unidad),true,false,false
P-00059,5493419686914,25030,F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,3,1145.70,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00059,5493419686914,25030,F015,LIQ DESINF 1 X900CC ESENCIAL PINO,5,930.60,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00060,5493419686914,25030,F067,ARROZ MITAI CALIDAD 0000,4,495.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00061,5493518648263,25031,F034,ALFAJOR GENIO TRIPLE NEGRO X 24U,1,6766.00,4,Pedido: 1 unidad (normalizado: 24 unidad; equiv: 1 unidad),true,false,false
P-00061,5493518648263,25031,F027,LIQ P LAVAR ROPA 1 X800 CLOW,5,1602.25,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
