pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,BEL-ALM-001,Arroz 2 Hermanos x 5kg,2,8775.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00029,5493818437953,25010,BEL-ACE-014,Mayonesa Dánica 3kg,1,8847.60,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00029,5493818437953,25010,BEL-FIA-009,Salame Natural Pig x Unidad,4,3900.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00030,5493818437953,25010,BEL-BEB-002,Jugo Limón x 5lt,3,8400.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00030,5493818437953,25010,BEL-QUE-014,Tybo Unión,2,9000.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00030,5493818437953,25010,BEL-ACE-003,Aceituna Negra Fileteada x 5kg,5,24000.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00030,5493818437953,25010,BEL-ACE-001,Aceite de Oliva x 2lt,5,17547.60,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00031,5493582132179,25011,BEL-QUE-010,Queso Crema La Paulina,1,30266.40,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00032,5493582132179,25011,BEL-ACE-015,Mayonesa Dánica Individual,5,8313.60,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00032,5493582132179,25011,BEL-ACE-006,Aceituna Verde N° 0 x 5kg,4,24000.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00032,5493582132179,25011,BEL-ACE-012,Kétchup Dánica Individual,1,8692.80,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00033,5493582132179,25011,BEL-QUE-005,Cheddar Pouch Spalen,2,16111.20,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00033,5493582132179,25011,BEL-LAC-001,Crema Doble Crema La Paulina x 5kg,5,49321.20,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00033,5493582132179,25011,BEL-CON-012,Tomate Triturado Lata 8kg,2,7440.00,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00033,5493582132179,25011,BEL-LAC-004,Manteca x 2.5kg Pilón,2,28552.50,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00034,5493872845902,25012,BEL-FIA-008,Salame Milán Natural Pig,5,8244.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00034,5493872845902,25012,BEL-FIA-009,Salame Natural Pig x Unidad,3,3900.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00035,5493872845902,25012,BEL-FIA-008,Salame Milán Natural Pig,2,8244.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00035,5493872845902,25012,BEL-ACE-005,Aceituna Verde Fileteada x 5kg,1,22200.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00035,5493872845902,25012,BEL-QUE-012,Sardo Oro,4,15000.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00035,5493872845902,25012,BEL-CON-012,Tomate Triturado Lata 8kg,4,7440.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00036,5493872845902,25012,BEL-ACE-012,Kétchup Dánica Individual,2,8692.80,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00037,5492997670210,25013,BEL-LAC-002,Crema La Paulina x 5kg,1,43284.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00037,5492997670210,25013,BEL-FIA-004,Jamón Cocido Tacural,1,11176.80,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00037,5492997670210,25013,BEL-ALM-001,Arroz 2 Hermanos x 5kg,4,8775.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00038,5492997670210,25013,BEL-ACE-019,Vinagre x 5lt,4,7620.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00038,5492997670210,25013,BEL-ACE-011,Kétchup Dánica 3kg,4,8935.20,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00038,5492997670210,25013,BEL-CON-003,Champi x 800gr Caracas,3,5880.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00038,5492997670210,25013,BEL-DUL-001,Pionono,2,2160.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00039,5492997670210,25013,BEL-CON-009,Morrón Finca de Santiago,1,4086.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00039,5492997670210,25013,BEL-LAC-001,Crema Doble Crema La Paulina x 5kg,3,49321.20,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00040,5493811657614,25014,BEL-DUL-001,Pionono,2,2160.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00040,5493811657614,25014,BEL-ACE-018,Salsa Golf Dánica 3kg,5,13054.50,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00041,5493811657614,25014,BEL-QUE-004,Cheddar Pouch La Paulina,3,28440.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00041,5493811657614,25014,BEL-QUE-006,Cremoso La Paulina,5,8364.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00041,5493811657614,25014,BEL-QUE-010,Queso Crema La Paulina,3,30266.40,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00042,5493811657614,25014,BEL-QUE-003,Cheddar en Fetas,1,33075.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00042,5493811657614,25014,BEL-BEB-001,Jugo de Naranja 5lt,5,22950.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00042,5493811657614,25014,BEL-CON-002,Caja Puré Triturado 520gr x 16,2,9072.00,3,Pedido: 2 unidad (normalizado: 32 unidad; equiv: 2 unidad),true,false,false
P-00042,5493811657614,25014,BEL-ACE-001,Aceite de Oliva x 2lt,4,17547.60,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00043,5492994145193,25015,BEL-ACE-014,Mayonesa Dánica 3kg,2,8847.60,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00043,5492994145193,25015,BEL-FIA-005,Jamón Crudo Tacural,5,20640.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00043,5492994145193,25015,BEL-FIA-001,Bondiola Natural Pig,5,20027.90,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00044,5492994145193,25015,BEL-ACE-001,Aceite de Oliva x 2lt,5,17547.60,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00045,5492994145193,25015,BEL-ACE-004,Aceituna Negra N° 2 x 5kg,2,23400.00,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00045,5492994145193,25015,BEL-ACE-010,Aceituna Verde N° 3 x 5kg,1,13800.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00045,5492994145193,25015,BEL-QUE-012,Sardo Oro,1,15000.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00045,5492994145193,25015,BEL-FIA-003,Jamón Cocido La Tirolesa,4,7398.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00046,5493515971311,25016,BEL-CON-005,Choclo Granos Amarillos x 3kg,5,13920.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00046,5493515971311,25016,BEL-CON-006,Cóctel de Frutas x 820gr,3,3960.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00047,5493515971311,25016,BEL-ACE-015,Mayonesa Dánica Individual,5,8313.60,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00048,5493515971311,25016,BEL-QUE-014,Tybo Unión,1,9000.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00048,5493515971311,25016,BEL-FIA-006,Jamonada La Tirolesa,2,4560.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00049,5492994228106,25017,BEL-ACE-017,Mostaza Dánica Individual,4,7422.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00049,5492994228106,25017,BEL-FIA-009,Salame Natural Pig x Unidad,4,3900.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00049,5492994228106,25017,BEL-CON-003,Champi x 800gr Caracas,4,5880.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00049,5492994228106,25017,BEL-FIA-004,Jamón Cocido Tacural,4,11176.80,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00050,5492994228106,25017,BEL-CON-003,Champi x 800gr Caracas,4,5880.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00050,5492994228106,25017,BEL-ACE-009,Aceituna Verde N° 1 x 5kg,5,19800.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00051,5492994228106,25017,BEL-CON-001,Ananá x 800gr,1,5832.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00051,5492994228106,25017,BEL-CON-010,Pulpa de Frutilla Emalubi x 1kg,4,4320.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00051,5492994228106,25017,BEL-CON-008,Lomito de Atún,4,3450.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00052,5492998718887,25018,BEL-QUE-006,Cremoso La Paulina,5,8364.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00052,5492998718887,25018,BEL-ACE-012,Kétchup Dánica Individual,4,8692.80,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00052,5492998718887,25018,BEL-FIA-005,Jamón Crudo Tacural,5,20640.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00052,5492998718887,25018,BEL-QUE-013,Tybo Senda La Paulina,2,11581.20,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00053,5492998718887,25018,BEL-CON-005,Choclo Granos Amarillos x 3kg,4,13920.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00053,5492998718887,25018,BEL-FIA-002,Jamón Cocido El Colonial,5,9024.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00053,5492998718887,25018,BEL-QUE-003,Cheddar en Fetas,2,33075.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00054,5492998718887,25018,BEL-ACE-007,Aceituna Verde N° 2 x 5kg,5,19800.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00055,5492995028869,25019,BEL-CON-008,Lomito de Atún,1,3450.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00055,5492995028869,25019,BEL-ACE-017,Mostaza Dánica Individual,3,7422.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00056,5492995028869,25019,BEL-ALM-003,Sal de Campo Don Burro,4,1500.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00056,5492995028869,25019,BEL-ACE-012,Kétchup Dánica Individual,1,8692.80,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00056,5492995028869,25019,BEL-FIA-003,Jamón Cocido La Tirolesa,4,7398.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00056,5492995028869,25019,BEL-QUE-013,Tybo Senda La Paulina,5,11581.20,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00057,5492995028869,25019,BEL-ACE-016,Mostaza Dánica 3kg,3,6430.80,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00057,5492995028869,25019,BEL-ACE-013,Mayodan x 3kg,5,5846.40,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00058,5493517304254,25020,BEL-CON-009,Morrón Finca de Santiago,2,4086.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00059,5493517304254,25020,BEL-ACE-013,Mayodan x 3kg,3,5846.40,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00059,5493517304254,25020,BEL-QUE-013,Tybo Senda La Paulina,4,11581.20,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00060,5493517304254,25020,BEL-FIA-003,Jamón Cocido La Tirolesa,3,7398.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00060,5493517304254,25020,BEL-CON-008,Lomito de Atún,5,3450.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00061,5493416986538,25021,BEL-CON-002,Caja Puré Triturado 520gr x 16,5,9072.00,2,Pedido: 5 unidad (normalizado: 80 unidad; equiv: 5 unidad),true,false,false
P-00061,5493416986538,25021,BEL-LAC-002,Crema La Paulina x 5kg,1,43284.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
