cliente_codigo,razon_social,nombre,phone_number,zona_codigo,vendedor_codigo,lat,lng,lista_precios_id,is_mock
1019,Restaurante El Patio,Lucas Castro,549351500119,Z3,V2,-31.382155525943258,-64.17709428805793,3,True
1020,Bar La Esquina,Agustina Pereira,549351500120,Z3,V2,-31.38314354851384,-64.17631903439255,4,True
1021,Kiosco Oasis,Mateo Muñoz,549351500121,Z3,V2,-31.395900214792263,-64.18009027593084,1,True
1022,Almacén del Valle,Santiago Rojas,549351500122,Z3,V2,-31.390054688873548,-64.19153044138436,2,True
1023,Supermercado Nueva Córdoba,Joaquín Ortiz,549351500123,Z3,V2,-31.391413018727334,-64.19508499255383,3,True
1024,Maxikiosco Colón,Franco Cabrera,549351500124,Z3,V2,-31.390328633525357,-64.19457596569417,4,True
1025,Kiosco Paso de los Andes,Leandro Romero,549351500125,Z3,V2,-31.38824402770472,-64.18174357333766,1,True
1026,Despensa Alberdi,Mariano Giménez,549351500126,Z3,V2,-31.391971831261483,-64.1881156567892,2,True
1027,Minimarket Güemes,Daniela Quiroga,549351500127,Z4,V2,-31.404520289894897,-64.16059253227083,3,True
1028,Fiambrería La Tabla,Paula Mansilla,549351500128,Z4,V2,-31.41238085586399,-64.15144715075408,4,True
1029,Despensa San Juan,Carolina Flores,549351500129,Z4,V2,-31.40950095684919,-64.16289267244325,1,True
1030,Kiosco Estación,Esteban Videla,549351500130,Z4,V2,-31.417893069397817,-64.16307834014971,2,True
1031,Bar El Paso,Florencia Castillo,549351500131,Z4,V2,-31.411640005763502,-64.14325143958472,3,True
1032,Heladería Cremosa,Marcos Ledesma,549351500132,Z4,V2,-31.410569257976242,-64.15363320614941,4,True
1033,Parrilla Los Amigos,Fernando Juárez,549351500133,Z4,V2,-31.40837600212289,-64.14677155391544,1,True
1034,Almacén La Familia,Silvia Peralta,549351500134,Z4,V2,-31.426229594146303,-64.16150284627287,2,True
1035,Maxikiosco Chacabuco,Patricia Moyano,549351500135,Z5,V3,-31.420574218976583,-64.21942912684659,3,True
1036,Kiosco Terminal,Adrián Godoy,549351500136,Z5,V3,-31.40437016685596,-64.22193641175393,4,True
1037,Despensa Las Heras,Claudio Cáceres,549351500137,Z5,V3,-31.419447730860835,-64.20596717696466,1,True
1038,Carnicería El Chañar,Raúl Agüero,549351500138,Z5,V3,-31.417504834374544,-64.21126947203292,2,True
1039,Verdulería Don Luis,Oscar Medina,549351500139,Z5,V3,-31.415987555537903,-64.20505085784623,3,True
1040,Panificadora Córdoba,Gustavo Ortiz,549351500140,Z5,V3,-31.421080939815344,-64.22064287600405,4,True
1041,Kiosco Los Olivos,Marta Luna,549351500141,Z5,V3,-31.42069420139545,-64.21352716478009,1,True
1042,Almacén Santa Ana,Beatriz Vera,549351500142,Z5,V3,-31.40545225079354,-64.21296993623464,2,True
1043,Minisuper Rivadavia,Susana Miranda,549351500143,Z6,V3,-31.391736301780224,-64.15741438787663,3,True
1044,Despensa General Paz,Gabriela Campos,549351500144,Z6,V3,-31.384771368951764,-64.14305909744412,4,True
1045,Kiosco San Jerónimo,Norma Vega,549351500145,Z6,V3,-31.395869206989804,-64.16481817410784,1,True
1046,Fiambrería El Trébol,Ricardo Núñez,549351500146,Z6,V3,-31.381941294999127,-64.16436842087158,2,True
1047,Rotisería San Vicente,Eduardo Leyes,549351500147,Z6,V3,-31.38686816079681,-64.1479900952553,3,True
1048,Bar Central,Jorge Luna,549351500148,Z6,V3,-31.387841137123843,-64.16547533505235,4,True
1049,Supermercado Maipú,Alfredo Díaz,549351500149,Z6,V3,-31.38430125571762,-64.14309308687425,1,True
1050,Maxikiosco Olmos,Hugo Lucero,549351500150,Z6,V3,-31.376341287146374,-64.14369411893728,2,True
